,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
468,321888176.6351795,0.0,214582528.03350282,0.0037306356244921667,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,1143.741054752772
469,321888176.6351795,0.0,214573492.8437372,0.003463297605948272,122094886.35989553,0.0,62624166.80646288,0.0,185017674.8855333,0.0023989695339845466,321100000.0,1986.0902174958442
470,321888176.6351795,0.0,184462773.10135353,3.21316260620242e-05,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,9.330166402450978
471,321888176.6351795,0.0,485883400.693724,0.036611269021026197,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,12710.430568590178
472,321888176.6351795,0.0,184240456.14366168,0.0,122094886.35989553,0.0,62624166.80646288,0.0,227009539.08542964,0.006714885735588535,321100000.0,2521.384350220538
473,321888176.6351795,0.0,204817207.21179485,0.0036791697271479637,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,1138.0605308409756
474,321888176.6351795,0.0,228830738.2535408,0.005023126040437008,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,1573.4039024541157
475,321888176.6351795,0.0,185683872.112001,0.00016111218887315874,122094886.35989553,0.0,62624166.80646288,0.0,176316762.9651332,0.001567756033384675,321100000.0,614.9415339812481
476,321888176.6351795,0.0,239220339.27553666,0.00788241583181279,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,2518.067320817573
477,321888176.6351795,0.0,259345929.64801764,0.008697874776212682,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,2786.609458561761
