,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
426,65,134.6616745879207,10.0,0.30380399281640963,86.8151984945879,1.5,0.18573361773568678,274.8548435372179,10.0,0.042812559708734196,161.78962429817022,10.0,0.388577421611717,153.31033520856428,1.5,0.4017311399762398,2.5,3.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,36,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,108852154.16137275,0.013975831388781147,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
427,101,86.30519230336134,1.5,0.2906171106883898,57.81690848052811,1.0,0.17412278093350297,291.6831675657659,10.0,0.7654043180837624,197.19826197200388,1.5,0.544088843441051,33.033587182447455,1.5,0.6273788630293974,1.5,3.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,37,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
428,29,283.0595968925854,10.0,0.4163769892180832,43.34684018779248,1.5,0.4817087671618295,120.65068608556656,1.5,0.5856476093157976,289.982937031722,1.0,0.4336818729219972,45.20964876804541,1.5,0.31646087905548004,1.5,4.5,3.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,38,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
429,129,182.18259730468046,10.0,0.9189647340766672,37.09705941482287,1.0,0.2014150750895132,296.1108879635998,10.0,0.6673628480458278,311.2223659731799,1.0,0.7466459720613964,261.6911898034487,1.5,0.11307214400517977,3.5,4.5,2.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,39,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
430,13,227.7026972307942,10.0,0.35762572074478954,166.23821729654085,10.0,0.6022604830915258,76.63898986399363,10.0,0.40942380396517486,136.54787864284089,10.0,0.7061895900673779,66.05367010201692,1.0,0.2689256061266495,4.5,1.5,1.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,40,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
431,33,62.78869197226291,1.0,0.5640086870388394,208.43688481531728,10.0,0.38308086759960164,96.63239325626489,1.5,0.49068518967744534,71.85780960620126,1.5,0.07717882330682334,184.38798284987416,10.0,0.5935343360510472,4.5,2.5,2.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,41,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,44525224.66824593,0.004505594661412857,173286182.40483302,0.0,1149100000.0,0.0
432,63,193.5325962645734,1.0,0.607332273015666,174.15437335704254,10.0,0.2279057725446813,65.08579787327889,1.0,0.1686240569914054,58.47780855105036,1.0,0.83431174849354,57.1904337381349,1.0,0.027148315009238557,4.5,3.5,3.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,42,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
433,26,348.19064243308867,1.0,0.8089765242837011,200.1571675858309,1.5,0.6701732803890597,253.06385231409206,1.5,0.5685945041031739,120.32834096477957,1.5,0.7841858480340683,282.74881396203136,10.0,0.20278154929343956,3.5,2.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,43,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
434,46,287.2361820441296,1.0,0.7805893706328695,71.76531928425872,1.5,0.4519627951313593,88.44413372298378,1.5,0.15545819306299166,224.53924956467202,10.0,0.6861585349028053,208.43065764460454,1.5,0.24476445186502793,4.5,3.5,4.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,44,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,36638443.08991128,0.0,173286182.40483302,0.0,1149100000.0,0.0
435,31,152.53510881513552,1.5,0.8240499242876093,332.26317408298263,1.5,0.5355173998613212,267.94906410050334,1.0,0.952224883393803,39.59347916816892,10.0,0.2226897260603548,235.84595454089788,1.0,0.3349046948020124,3.5,4.5,1.5,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,6,5,8,5,4,0,3,8,3,2,1,10,9,4,8,0,45,8,dikesnet,237161696.09891078,0.0,122529913.13437451,0.0,100455669.33672759,0.0,37811477.17608947,0.0007538735006567959,173286182.40483302,0.0,1149100000.0,0.0
