,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
20,104,229.52213608689587,10.0,0.5443653032869133,44.473602150765394,1.5,0.8266965960227346,150.60784896105,1.5,0.6953277153195677,139.20862618935521,1.5,0.5747130624805916,333.8682213781498,1.0,0.3564141191252877,2.5,2.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,30,0,dikesnet,177198159.8683943,0.0,200542414.12736246,7.606643164240602e-05,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,34.48680718642896
21,6,320.9490545133091,1.0,0.08976512177524056,200.2381117885535,1.5,0.11148694320574348,169.71767966944756,1.5,0.23488175573175557,251.53784038625724,1.5,0.954550924079145,88.56432118814868,1.5,0.819435569093906,1.5,3.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,31,0,dikesnet,177198159.8683943,0.0,285666157.106037,0.0069525682012475465,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,3641.1867704974707
22,54,101.28815097050642,1.0,0.3104965178030195,215.30780758077725,10.0,0.2868387606413083,210.87560586117206,1.0,0.3971083710531781,285.9871503384626,1.0,0.8297601557785791,326.9810772225536,10.0,0.7945064443500235,1.5,1.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,32,0,dikesnet,177198159.8683943,0.0,213838587.2693108,0.0011776188967752453,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,570.7379471681077
23,21,183.14428082395938,1.5,0.9969450063953763,290.2914109826186,1.0,0.2533545840435654,104.39076502448889,1.0,0.1260582412838368,264.812416914273,1.5,0.8530100332950852,340.84606969527357,10.0,0.2851422718969094,1.5,1.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,33,0,dikesnet,177198159.8683943,0.0,216894809.03574097,0.0014222529543627916,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,697.8018203970296
24,24,274.9307230727836,1.0,0.622412292316417,262.03866235671944,1.5,0.1634004483109693,321.11411420141815,1.0,0.4696162320037472,236.0606772962937,1.0,0.742623478805775,155.38069357632736,1.5,0.7364763863267989,2.5,4.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,34,0,dikesnet,177198159.8683943,0.0,235518471.35541195,0.0038644495446627774,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,1934.1110643171207
25,4,119.11955339416758,1.0,0.2598357071914685,306.34767080582134,1.0,0.6132041493780531,261.66349586662943,10.0,0.3705414225571885,254.04040843134874,1.0,0.11042689274814414,67.03527359999724,1.0,0.23378970247420433,4.5,4.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,35,0,dikesnet,177198159.8683943,0.0,201529081.02222547,0.00028432616518048393,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,132.55131100007432
26,120,132.2065932134534,10.0,0.28158117669116745,275.8801251845698,10.0,0.05322317835904796,130.23701915971677,10.0,0.9010816063054341,190.1806681627421,1.0,0.6898254211163154,80.32718966879072,10.0,0.9335555491781486,2.5,2.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,36,0,dikesnet,177198159.8683943,0.0,322884915.59004134,0.012449075454050513,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,6773.724535786783
27,19,317.6715002472216,1.5,0.3787929890744744,152.9044928077157,1.5,0.9688131425641284,326.0117622543282,10.0,0.011425755419311383,56.76652741580739,1.0,0.5989403531638919,246.6270338999931,1.0,0.8274949332140243,3.5,2.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,37,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
28,128,123.6990086870564,1.5,0.8400144152517848,82.80332513016508,1.5,0.5284469013533861,286.3085033180378,10.0,0.2724844796136899,117.78762283954168,1.5,0.5132271423709452,308.49330306354904,1.5,0.47395796439799026,2.5,1.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,38,0,dikesnet,177198159.8683943,0.0,205168358.64073455,0.0005950778369293076,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,277.98398365320475
29,31,185.4447026248439,1.5,0.0046421147449879,193.20230297455157,10.0,0.5597588582544774,155.9447928130149,1.5,0.19019180715848996,187.09138598941442,1.0,0.44095897214216434,122.81437518306979,1.5,0.3086997683942178,4.5,4.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,39,0,dikesnet,177198159.8683943,0.0,203341407.8190981,0.0005973002657550266,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,278.3649193835669
